Artist,Title,Lyrics
Billy Idol,Eyes Without A Face,"[Verse 1: Billy Idol]
I'm all out of hope
One more bad break could bring a fall
When I'm far from home
Don't call me on the phone to tell me you're alone
It's easy to deceive
It's easy to tease, but hard to get release
[Chorus: Billy Idol & 
Perri Lister
]
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
Got no human grace, your eyes without a face
[Post-Chorus]
Ooh, ch-ch
[Verse 2: Billy Idol]
I spent so much time
Believing all the lies to keep the dream alive
Now it makes me sad
It makes me mad at truth for loving what was you
[Chorus: Billy Idol & 
Perri Lister
]
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
Got no human grace, your eyes without a face
[Post-Chorus]
Ooh, ha
[Guitar Solo]
[Bridge: Billy Idol]
When you hear the music, you make a dip
Into someone else's pocket, then make a slip
Steal a car and go to Las Vegas
Ooh, the gigolo pool
Hanging out by the state line
Turning holy water into wine
Drinking it down
Oh-oh-oh
I'm on a bus on a psychedelic trip
Reading murder books, trying to stay hip
I'm thinking of you and you're out there, so
Say your prayers
Say your prayers
Say your prayers
Ooh
Ooh-ooh-ooh, ooh
[Verse 3: Billy Idol]
Now I close my eyes
And I wonder why I don't despise
Now all I can do
Is love what was once so alive and new
But it's gone from your eyes
I'd better realise
[Chorus: Billy Idol & 
Perri Lister
]
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
Got no human grace, your eyes without a face
[Post-Chorus]
Such a human waste, your eyes without a face
[Outro: Billy Idol]
And now it's getting worse"
Beyoncé,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"[Intro: Kilo Ali]
America, America has a problem
[Verse 1: Kendrick Lamar]
(Lama)
Tourbillion watcher, pgLang caller, 9-11 slider
Look at my garage, it's synced up
Get the genie out the bottle and point at any model
(Lama)
What, wait, what? Ayy, what?
Go, Stink, fuck it up, go, Stink, fuck it up
Go, Stink, that's what's up, go, Stink, I'm in love
Hey, boo-boo, too much complexity to learn me from Google
My mama told me that the money outgrew you
My horoscope said I'm really out my noodle
I'm troublin', I'm puzzlin', it's sudoku
Say Bey, yes, America got a problem
Geeked up, choosy love, well, they chose violence
Universal, please don't play possum
I'm a businеss man doin' as follows
Truthfully, I be lyin' in my rap song
'Cause I always fail to mention I'd slap homiе
His career didn't come with no life insurance
Hope his day one fans got some facts on him
I'm an honorary Beyhive, let's see why
Them diamonds don't be fly, they all CGI
You better get it off your chest like breast reduction
If she stressed over you, she stressed for nothin'
Hold up, wait a minute
Even AI gotta practice clonin' Kendrick
The double entendre, the encore remnants
I bop like ten men, the opps need ten men
Billboard, they know (Out for her, ride or else)
After Hov, rightfully so (Bust for else, not us)
Simmer down, I go, I go (Culture, you got us, you got us)
[Verse 2: Beyoncé]
Heard you got that D for me
Pray your love is deep for me
I'ma make you go weak for me
Make you wait a whole week for me (For me)
I see you watchin', fiendin'
I know you want it, schemin'
I know you need it, drug lord
You want it on you? Don't I know
You need love, I need some too
Do you want this like it wants you?
[Refrain: Beyoncé]
Know that booty gon' do what it want to
Can't hit it one time, multiple
I know you see these rack-rack-racks on me
Now come and get hi-i-i-i-i-igh
Twenty, forty, eighty out the trap, hit it with the rap
Put it on the map, then we right back
Call me when you wanna get hi-i-i-igh
Tony Montana with the racks
Ivy P on my bag, double G's on my dash
Nigga, I'm bad, I'm bad
Tell me when you wanna get hi-i-i-igh
[Pre-Chorus: Beyoncé & 
Kendrick Lamar
]
Boy, you can't get no higher than this, no, 
no
'Cause love don't get no higher than this, no, 
no
, no, 
no, no
[Chorus: Beyoncé]
Grind (Grind)
Boy, you know I grind (Grind)
When I pull up these jeans, you're mine (When I pull up these jeans, you're mine)
You're mine (You're mine, you're mine)
When I step on the scene, they
Can't wait to back it up
Your ex-dealer dope, but it ain't crack enough
I'm supplying my man, I'm in demand soon as I land
Just know I roll with them goons (Goons)
In case you start acting familiar
This kind of love, big business
Whole slab, I kill for
[Pre-Chorus: Beyoncé & 
Kendrick Lamar
]
Boy, you can't get no higher than this, no (Higher)
'Cause love don't get no higher than this, no, 
no
, no, 
no, no
[Chorus: Beyoncé]
Grind (Grind)
Boy, you know I grind (Grind)
When I pull up these jeans, you're mine (When I pull up these jeans, you're mine)
You're mine (You're mine, you're mine)
When I step on the scene, they
Can't wait to back it up
Your ex-dealer dope, but it ain't crack enough
I'm supplying my man, I'm in demand soon as I land
Just know I roll with them goons (Goons)
In case you start acting familiar
This kind of love, big business
Whole slab, I kill for
[Refrain: Beyoncé, 
Kendrick Lamar
, 
Beyoncé & Kendrick Lamar
]
Know that booty gon' do what it want to (
Fam
)
Can't hit it one time, multiple (
Yam
)
I know you see these rack-rack-racks on me (
Racks
)
Now come and get hi-i-i-i-i-igh
Twenty, forty, eighty out the 
trap
, hit it with the 
rap
Put it on the 
map
, then we right back (
Run it back
)
Call me when you wanna get hi-i-i-igh
Tony Montana with the 
racks
Ivy P on my bag, double G's on my 
dash
Nigga, I'm bad, I'm bad (
Yeah, yeah, yeah
)
Tell me when you wanna get hi-i-i-igh (
I'm bad
)"
Dominic Fike,Come Here,"[Chorus]
Baby, come here
I get so lonely at night
[Verse]
Why can't you tell that I'm desperate?
Doesn't it show in my smile?
Why can't you tell that I'm bad for ya?
It doesn't show in your eyes
(Oh, cool) Oh, you're so cool
I wish I was you
So why can't you tell me
What you think I should do?
[Bridge]
So why can't you tell me
What you think I should do?
[Chorus]
Baby, come here
I get so lonely at night"
Arctic Monkeys,Fireside,"[Verse 1]
I can't explain but I wanna try
There's this image of you and I
And it goes dancing by
In the morning and in the night time
There's all these secrets that I can't keep
Like in my heart there's that hotel suite
And you lived there so long
It's kind of strange now you're gone
[Chorus]
I'm not sure if I should show you what I've found
Has it gone for good, or is it coming back around?
Isn't it hard to make up your mind
When you're losing and your fuse is fireside?
[Verse 2]
There's all those places we used to go
And I suspect you already know
But that place on memory lane you like still looks the same
But something about it's changed
[Chorus]
I'm not sure if I should show you what I've found
Has it gone for good, or is it coming back around?
Isn't it hard to make up your mind
When you're losing and your fuse is fireside?
[Bridge]
And I thought I was yours forever
Or maybe I was mistaken
But I just cannot manage to make it through the day
Without thinking of you lately
[Instrumental Break]
[Chorus]
I'm not sure if I should show you what I've found
Has it gone for good, or is it coming back around?
Isn't it hard to make up your mind
When you're losing and your fuse is fireside?"
Cage The Elephant,Tokyo Smoke,"[Verse 1]
Hey man
Hand me down with the crooked back
What's your father's name? Boy, you don't know where you're at
Pick yourself up, you don't look so good
Maybe you should lay down
Taught me how to fall
But you never told me I was supposed to stay down
[Chorus]
Stick and move
Sharpen up the knife
Keep it tight
Stay between the lines
Make your mark
Take your own advice
Don't be surprised when you trip and stumble
I played the fool again
My old unfaithful friend
Stick and move
Sharpen up the knife
Don't be surprised if you can't stay between the lines
[Verse 2]
Quicksand color blind in the hourglass
All spun out 'cause you can't stop looking back
Better stay still, don't you make a move
What'd you hope to find here?
Taught me how to fall
But you never told me I was meant to die here
[Chorus]
Stick and move
Sharpen up the knife
Keep it tight
Stay between the lines
Make your mark
Take your own advice
Don't be surprised when you trip and stumble
I played the fool again
My old unfaithful friend
Stick and move
Sharpen up the knife
Don't be surprised if you can't stay between the lines
[Outro]
Endless shot rounds
No smoking guns
Fizzled and faded
Now back on the run
My sticks and stones
Tokyo smoke
I played the fool 'til I started to choke
My public smile
My double face
Half in the light
Half in the shade
Need some fresh air
No place tonight
Guess I'll stay in and continue to fight
Lost, trace of trail
Spiderweb spun
Pale white and blue
Now I'm coming undone
Play sticks and stones
Three shades of black
Two steps away
And I can't get back"
J. Cole,No Role Modelz,"[Verse 1]
First things first: rest in peace, Uncle Phil
For real
You the only father that I ever knew
I get my bitch pregnant, I'ma be a better you
Prophecies that I made way back in the Ville
Fulfilled
Listen, even back when we was broke, my team ill
Martin Luther King woulda been on Dreamville, talk to a nigga
[Pre-Chorus]
One time for my L.A. sisters
One time for my L.A. ho
Lame niggas can't tell the difference
One time for a nigga who know
[Chorus]
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
[Verse 2]
No role models, and I'm here right now
No role models to speak of
Searchin' through my memory, my memory, I couldn't find one
Last night, I was gettin' my feet rubbed by the baddest bitch
Not Trina, but I swear to God
, 
this bitch'll make you call your girl up
And tell her, ""Hey, what's good?
Sorry, I'm never comin' home, I'ma stay for good""
Then hang the phone up and proceed to lay the wood
I came fast like 9-1-1 in white neighborhoods
Ain't got no shame 'bout it
She think I'm spoiled and I'm rich 'cause I can have any bitch
I got defensive and said, ""Nah, I was the same without it""
But then I thought back, back to a better me
Before I was a B-list celebrity
'Fore I started callin' bitches ""bitches"" so heavily
Back when you could get a platinum plaque without no melody, you wadn't sweatin' me
[Pre-Chorus]
One time for my L.A. sisters
One time for my L.A. ho
Lame niggas can't tell the difference
One time for a nigga who know
[Chorus]
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
[Verse 3]
I want a real love, dark-skinned Aunt Viv love
That Jada and that Will love
That leave a toothbrush at your crib love
And you ain't gotta wonder whether that's your kid love
Nigga, I don't want no bitch from reality shows
Out-of-touch-with-reality hoes
Out in Hollywood bringin' back five or six hoes
Fuck 'em then we kick 'em to the do', nigga, you know how it go
She deserved that, she a bird, it's a bird trap
You think if I didn't rap she would flirt back?
Takin' off her skirt, let her wear my shirt, 'fore she leave
""I'ma need my shirt back"" (Nigga, you know how it go)
[Pre-Chorus]
One time for my L.A. sisters
One time for my L.A. ho
Lame niggas can't tell the difference
One time for a nigga who know
[Chorus]
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
[Interlude: George W. Bush]
There's an old saying in Tennessee—I know it's in Texas, probably in Tennessee—that says, fool me once... shame on... shame on you
Fool me—can't get fooled again
[Bridge]
Fool me one time, shame on you (Ayy)
Fool me twice, can't put the blame on you (Ayy)
Fool me three times, fuck the peace sign
Load the chopper, let it rain on you (Bop, bop, bop)
Fool me one time, shame on you (Ayy)
Fool me twice, can't put the blame on you (Ayy)
Fool me three times, fuck the peace sign
Load the chopper, let it rain on you (Bop, bop, bop)
[Verse 4]
My only regret was too young for Lisa Bonet
My only regret was too young for Nia Long
Now all I'm left with is hoes from reality shows
Hand her a script, the bitch prolly couldn't read along
My only regret was too young for Sade Adu
My only regret, could never take Aaliyah home
Now all I'm left with is hoes up in Greystone
With the stale face 'cause they know it's they song
[Pre-Chorus]
She shallow but the pussy deep (She shallow
She shallow)
She shallow but the pussy deep (She shallow), yeah, ayy
(She shallow)
She shallow but the pussy deep (She shallow), haha
(She shallow)
She shallow but the pussy deep (She shallow
She shallow)
[Chorus]
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
[Produced by Phonix Beats & J. Cole]"
Dominic Fike,Why,"[Intro]
Yeah
[Chorus]
You ever wonder why-y-y-y-y? (Why)
Why-y-y-y-y? Why-y-y-y-y?
You ever wonder why-y-y-y-y? (Why)
Why-y-y-y-y? Why-y-y-y-y?
[Verse 1]
Said the lady with the long legs in the lawn chair
She like the strings on my guitar neck and my blonde hair
I write about her thighs in my latest lines
I remember her eyes when I asked her why
Why would you pay for this apartment you don't belong in?
You take this shit from all your bosses and all your boyfriends
I guess I get surprised when you let it slide
But it's no business of mine how you waste your time
Yeah
[Verse 2]
Don't crash, don't text, go renew your tags
No sex, no sleep, just that job
I bet you miss what you had
You can't get no sleep at night
Do you ever wonder why everyone is out to get you every day
Or do you question anything?
How many warnin' signs 'til it hits you, darling?
Gravity's your friend
You fall out of touch sometime
But your history calls you back to it again
Too many factors to be sure
So many reasons to think twice
And nobody asked you to before
[Chorus]
But do you ever wonder why-y-y-y-y? (Why)
Why-y-y-y-y? Why-y-y-y-y?
You ever wonder why-y-y-y-y? (Why)
Why-y-y-y-y? Why-y-y-y-y?
[Outro]
You ever wonder why?
Why, why?"
French Cassettes,Santa Cruz Tomorrow,"(Oh, South Carolina, Great Britain, oh)
Got tired of colds
Set my project on the doornail
While they both work on in soul
Everybody's got to eat, every-
Undo your tongue
Are you as sad as you are young?
Now you can tell me if I'm wrong
But I think you need some sleep
Yeah, I think you need some sleep
Yeah, I think you need some sleep
Yeah, I think you need some sleep
Yeah, I think you need some sleep
Yeah, I think you need some sleep
Yeah, I think you need some sleep
(South Carolina, Great Britain, oh
Oh, oh no)
Sunsets wait to war
Yeah, I think you need some sleep
Yeah, I think you need some sleep
Yeah, I think you need some sleep
Yeah, I think you need some sleep
(Yeah, I think you need some sleep) Why do you keep waking up to me?
(Yeah, I think you need some sleep
Yeah, I think you need some sleep) Yeah, why do you need to make it up to me?
(Yeah, I think you need some sleep
Yeah, I think you need some sleep) Yeah, why do you keep waking up to me?"
Phantogram,Black Out Days - Future Islands Remix,"[Verse 1]
Hide the sun
I will leave your face out of my mind
You should save your eyes
A thousand voices howling in my head
[Verse 2]
Speak in tongues
I don't even recognize your face
Mirror on the wall
Tell me all the ways to stay away
[Chorus 1]
Away-ay ya
Away-ay ya
And stay away-ay ya
Away-ay ya
Away-ay ya
[Verse 3]
Dig a hole
Fireworks exploding in my hands
If I could paint the sky
Would all the stars then shine a bloody red?
[Chorus 2]
Stay
Hey hey hey ah
Away hey ah
Away hey ah
And stay
Hey hey hey ah
Away hey ah
Away hey ah
[Refrain]
And stay
Hey hey hey ah (I’m hearing voices all the time and they're not mine)
Away hey ah
Away hey ah (I'm hearing voices and they’re haunting my mind)
And stay
Hey hey hey ah (I'm hearing voices all the time and they're not mine)
Away hey ah
Away hey ah (I'm hearing voices and they're haunting my mind)
[Outro]
Black out days
I don't recognize you anymore"
Elton John,Goodbye Yellow Brick Road - Remastered 2014,Lyrics Not Found
WILLOW,Wait a Minute!,"[Verse 1]
Wait a minute
I think I left my conscience on your front doorstep, oh oh
Wait a minute
I think I left my consciousness in the sixth dimension
But I'm here right now, right now
(Right now, right now)
Just sitting in a cloud, oh wow
I'm here right now, right now with you, oh wow, oh wow
(Right now, with you)
I don't even care
I’ll run my hands through your hair
You wanna run your fingers through mine
But my dreads too thick and that's alright
[Chorus]
Hold on, wait a minute
Feel my heart's intention, oh
Hold on, wait a minute
I left my consciousness in the sixth dimension
Left my soul in his vision
Let's go get it, oh, oh
Let's go get it, oh, oh
[Verse 2]
Some things don't work
Some things are bound to be
Some things, they hurt
And they tear apart me
You left your diary at my house
And I read those pages, do you really love me, baby?
Some things don't work
Some things are bound to be
Some things, they hurt
And they tear apart me
But I broke my word, and you were bound to see
And I cried at the curb
When you first said, ""Oel ngati kameie""
[Chorus]
Hold on, wait a minute (Oh)
Feel my heart's intention
Hold on, wait a minute
I left my consciousness in the sixth dimension
Left my soul in his vision
Let's go get it, oh, oh
Let's go get it, oh, oh
[Bridge]
Some people like to live
Some just tryin' to get by
Some people like that hurt
Some just rather say goodbye, bye
[Chorus]
Hold on, wait a minute
Feel my heart's intention, oh
Hold on, wait a minute
I left my consciousness in the sixth dimension
Left my soul in his vision
Let's go get it, ah, ah
Let's go get it, ah, ah
(Let's go get it)
(Mmh)
(Let's go get it)
(Mmh)"
Kali Uchis,Dead To Me,"[Intro]
(You're dead to me)
(You're dead to me)
Woo, ooh, ooh (Ooh)
Woo, ooh, ooh (Ooh)
Ooh, ooh, ooh, ooh (Ooh)
Woo, ooh, ooh
[Verse 1]
I don't know what you been told
See, I am not your enemy (Uh, oh-oh)
But if there's one thing that I know
Is that you ain't a friend to me (Uh, oh-oh)
So don't come for me unless I send for you
Know you're dead to me (Uh, oh-oh)
Just don't come for me, I won't send for you
Know you're dead to me
You're dead to me, oh
[Chorus]
You're dead to me (You're dead to me)
You're obsessed, just let me go
You're dead to me (You're dead to me)
I'm not somebody you know
You're dead to me (You're dead to me)
Could you just leave me alone?
You're dead to me
[Verse 2]
What you say to me? I can't hear a thing
Try to talk some sense to myself, but I won't listen
I'm what God made of me, don't need to pretend
It's okay to disagree, we don't have to be friends
See, you think you got problems with me?
But, baby, I don't even think about you
You're mad at everything I do
But what are you up to? I haven't a clue
'Cause, baby, you're dead to me
Why can't I be dead to you?
I think that we both know the truth
[Chorus]
You're obsessed, just let it go
You're dead to me (You're dead to me)
You're obsessed, just let me go
You're dead to me (You're dead to me)
I'm not somebody you know
You're dead to me (You're dead to me)
Could you just leave me alone?
You're dead to me (You're dead to me)
[Bridge]
Why can't you see you're dead to me?
(Wow-wow, woah, wow-wow, woah)
Just let it be, you're dead to me
(Wow-wow, woah, wow-wow, woah)
Why can't you see you're dead to me?
(Wow-wow, woah, wow-wow, woah)
Just let it be, you're dead to me
(Wow-wow, woah, wow-wow, woah)
[Chorus]
You're obsessed, just let it go
You're dead to me (You're dead to me)
You're obsessed, just let me go
You're dead to me (You're dead to me)
I'm not somebody you know
You're dead to me (Baby, you're dead to me)
Could you just leave me alone?
Baby, you're dead to me, baby, you're dead to me
[Outro]
Baby, you're—
Woah, woah
Baby, you're—"
Tame Impala,"New Person, Same Old Mistakes","[Instrumental Intro]
[Verse 1]
I can just hear them now
""How could you let us down?""
But they don't know what I found
Or see it from this way 'round
Feeling it overtake
All that I used to hate
One by one, every trait
I tried, but it's way too late
All the signs I don't read
Two sides of me can't agree
Will I be in too deep?
Going with what I always longed for
[Chorus]
Feel like a brand-new person
But you'll make the same old mistakes
Well, I don't care, I'm in love
Stop before it's too late
I know…
Feel like a brand-new person
But you'll make the same old mistakes
I finally know what it's like
(You don't have what it takes)
Stop before it's too late
I know there's too much at stake
Making the same mistakes
And I still don't know why it's happening
Stop while it's not too late
And I still don't know…
[Verse 2]
Finally taking flight
I know you don't think it's right
I know that you think it's fake
Maybe fake's what I like
The point is, I have the right
Not thinkin' in black and white
Thinkin' it's worth the fight
Soon I'll be out of sight
Knowing it all this time
Going with what I always longed for
[Chorus]
Feel like a brand-new person
But you'll make the same old mistakes
Well, I don't care, I'm in love
Stop before it's too late
Feel like a brand-new person
But you'll make the same old mistakes
So how do I know I've gone too far?
(You don't have what it takes)
Stop before it's too late
[Bridge]
Man, I know that it's hard to digest
But maybe your story ain't so different from the rest
And I know it seems wrong to accept
But you've got your demons, and she's got her regrets
Man, I know that it's hard to digest
A realization is as good as a guess
And I know it seems wrong to accept
But you've got your demons, and she's got her regrets
But you've got your demons, and she's got her regrets
[Chorus]
Feel like a brand-new person
So, how will I know that it's right?
In a new direction
So, how will I know I've gone too far?
Stop thinking that the only option was…
Feel like a brand-new person
I finally know what it's like
Stop thinking that the only option was…
In a new direction
So how will I know I've gone too far?
Stop thinking that the only option was…
And I know it's hard to describe
Stop thinking that the only option was…
So how will I know that it's right?"
Arctic Monkeys,Why'd You Only Call Me When You're High?,"[Verse 1]
The mirror's image tells me it's home time
But I'm not finished, 'cause you're not by my side
And as I arrived I thought I saw you leavin'
Carryin' your shoes
Decided that once again I was just dreamin'
Of bumpin' into you
[Chorus]
Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply
""Why'd you only call me when you're high?""
""Hi, why'd you only call me when you're high?""
[Verse 2]
Somewhere darker, talkin' the same shite
I need a partner, (High) well are you out tonight?
It's harder and harder to get you to listen
More I get through the gears
Incapable of makin' alright decisions
And having bad ideas
[Chorus]
Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply (Message, you reply)
""Why'd you only call me when you're high?""
(Why'd you only call me when you're)
""Hi, why'd you only call me when you're high?""
[Bridge]
And I can't see you here, wonder where I might
It sort of feels like I'm runnin' out of time
I haven't found all I was hopin' to find
You said you got to be up in the mornin'
Gonna have an early night
And you're startin' to bore me, baby
""Why'd you only call me when you're high?""
[Outro]
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're (high)?"""
Doja Cat,Been Like This,"[Intro]
Since you've been like this
Baby, I don't really wanna be in like this
Ever since you've been like this
Baby, I don't really wanna be in like this
[Verse 1]
See you've been changin', baby
In good ways and bad ways
Can't say what I say, it's far too late
And I think you made me, baby
Made me too nervous
Cryin' and this hurt and I gotta tell you why
[Chorus]
Since you've been like this (This, this, this, this)
Baby, I don't really wanna be in like this (This, this, this, this)
Ever since you've been like this (This, this, this, this)
Baby, I don't really wanna be in like this (This, this, this, this)
[Verse 2]
Who is frontin', babe?
We don't have fun these days
It's more than complicated, I
Couldn't say you wasn't with it
Told me to stop my whinin'
Whеn you gave up, I tried
I gave you all this timе
Gave you my everything
Said I can do this all night, baby
Said I was actin' out of line, maybe
Can't put my trauma to the side
When you told me I was lyin'
Had me feelin' like I died
, baby
I seen a grown man cry, baby
Just see you do it, ain't special, no
Wonder when I ain't there
What the fuck you've been sayin'?
Talkin' 'bout how I sexed you up
[Bridge]
And I know it might mess you up
Hatin' me ain't gon' get you love
Ain't nobody gon' set you up
I ain't even gon' sweat you, love
And we'll never be friends like this
God couldn't forgive like this
Way I really went in like this
Thank God I ain't been like this (Yeah)
[Chorus]
Since you've been like this (This, this, this, this)
Baby, I don't really wanna be in like this (This, this, this, this)
Ever since you've been like this (This, this, this, this)
Baby, I don't really wanna be in like this (This, this, this, this)
Since you've been like this
[Outro]
I, bless your heart (Like this)
But I, I can't take no more (Like this)
I, bless your heart (Like this)
But I, I can't take no more (Like this)
Since you've been like this
Baby, I don't really wanna be in like this"
Crystal Castles,Empathy,"[Verse 1]
Premise to interlude
Wait 'til all bones protrude
You're convexed, you're convert
There is a stain on your shirt
Semi-sweet, semicide
The remorse you can't hide
Now we molt, past our skin
And make room to begin
[Chorus]
Symmetry
You must work in symmetry
You must earn their empathy
Empathy, empathy, empathy
Symmetry
You must work in symmetry
You must earn their empathy
Empathy, empathy, empathy
[Post-Chorus]
Down, down, cities fall down on me
Down, down, cities fall down on me
Down, down, cities fall down on me
Down, down, cities fall down
[Verse 2]
The final chrysalis
Self-controlled consciousness
Now it feels imminent
Done for your benefit
Eat right out of their hand
It's concaved all your glands
We're encouraged to forget
Preference to be force fed
[Chorus]
Symmetry
You must work in symmetry
You must earn their empathy
Empathy, empathy, empathy
Symmetry
You must work in symmetry
You must earn their empathy
Empathy, empathy, empathy
[Post-Chorus]
Down, down, cities fall down on me
Down, down, cities fall down on me
Down, down, cities fall down on me
Down, down, cities fall down
[Outro]
You must earn our empathy
You must earn our empathy
You must earn our empathy
You must earn our empathy
You must earn our empathy
You must earn our empathy
You must earn our empathy
You must earn our empathy"
Peter McPoland,Digital Silence,"[Verse 1]
I won't ask a question, I'll state the truth
It's everything I know and all I do
And there's people better off, they're just like you
But no one is someone until I tell them who
[Chorus]
This is the way that it is
This is the way that it always will be
Something you love turns to something you miss
Something you say turns to something you mean
This is the way that I know
This is the way and it makes me sick
I feel it inside me like a pulse
It's starting to slow and the meter dips, oh
[Verse 2]
Why don't you get it? Can't you get it? Understand
They're gonna execute the mother to elevate the man
They're gonna propagate the killer, eliminate the youth
They're gonna blind date everyone until you love them too
They're gonna blind date everyone until you love them too
They're gonna blind date everyone until you love them too
They're gonna blind date everyone until you love them—
[Chorus]
This is the way that it is
This is the way that it always will be
Something you love turns to something you miss
Something you say turns to something you mean
This is the way that I know
This is the way and it makes me sick
I feel it inside me like a pulse
It's starting to slow and the meter dips
[Bridge]
Digital style, digital hate
Digital God, digital pain
Digital violence, digital world
Digital boy meets digital girl
Digital silence, digital yell
Digital heaven, digital hell
Digital start, digital end
Digital birth, digital death
[Pre-Chorus]
This is the answer to the question
This is the sound of the truth
This is the answer to the question
There is nothing you can do
[Chorus]
This is the way that it is
This is the way that it always will be
Something you love turns to something you miss
Something you say turns to something you mean
This is the way that I know
This is the way and it makes me sick
I feel it inside me like a pulse
It's starting to slow and the meter dips, oh"
The Weeknd,Double Fantasy (with Future),"[Pre-Chorus: The Weeknd]
Temperature risin', bodies united
Now that I trapped you in my arms
No need to fight it, no need to hide it
Now that I've seen what's in your heart
Baby girl, I'm the only one who knows this side of you
And baby, you know that I can pull out what's inside of you
[Chorus: The Weeknd]
Even though it's wrong
It's wrong
Even though it's wrong, baby
My girl
Oh-ooh-oh, ooh-woah, ooh-woah, ooh-woah, oh-oh (Yeah, yeah, yeah, yeah)
Oh-ooh-oh, ooh-woah, ooh-woah, ooh-woah, oh-oh (Yeah, yeah, yeah, yeah)
Oh-oh-oh
[Verse 1: The Weeknd]
You want me inside it, beg me to slide in
Knowing we should have never met
Girl, when you ride it, see you decide it
Don't say those words that you'll regret
Baby girl, I can tell that you think that I'm right for you
I already know that it's not true, but girl, I'll lie to you
[Chorus: The Weeknd]
Even though it's wrong (Yeah, yeah)
It's wrong (Yeah, yeah)
Even though it's wrong, baby (Yeah, yeah)
My girl (Yeah)
Oh-ooh-oh, ooh-woah, ooh-woah, ooh-woah, oh-oh (Yeah, yeah, yeah, yeah)
Oh-ooh-oh, ooh-woah, ooh-woah, ooh-woah, oh-oh (Yeah, yeah, yeah, yeah)
Oh-oh-oh
[Verse 2: Future]
We do the things, but we know it's wrong
All on my skin, you all in my palm
I sent you an envelope, came with a poem
You possess venom, that came with a charm
You get the good out me when I perform
I know the bad in you, that's what I want
And you a baddie, you turnin' me on
Fiend for your demons, I know where this goin'
Love when you fuckin' me, talkin', I know what you doin'
Caught up in love, what the fuck is we doin'?
Models and bottles with us, ain't nothin' to it
I tell you, ""I got you,"" that's well understood
Your legs on the bed, got your head on the floor
We go out shoppin' whenever we get bored
We get it poppin', leave nothin' in the store
If I go to Saturn, I know that you goin'
Fuck me on Saturday, early in the mornin'
Flyer than a bird, she gon' open her door
Screamin' out murder, but showin' you remorse
Gotta be cautious, can't pay the support
Stars in the ceilin', don't feel like a Porsche
Came from the trenches, just livin' at war
Once was a prostitute, I can afford you
The one I adore
[Pre-Chorus: The Weeknd]
Temperature risin', bodies united
Now that I trapped you in my arms
No need to fight it, no need to hide it
Now that I've seen what's in your heart
Baby girl, I'm the only one who knows this side of you
And baby, you know that I can pull out what's inside of you
[Chorus: The Weeknd]
Even though it's wrong
It's wrong
Even though it's wrong, baby
My girl"
